function,group,count,weight,cost,pct
compute,add,4,1,4,6.7
compute,mul,1,2,2,3.3
compute,memory,16,3,48,80.0
compute,alloca,6,1,6,10.0
compute,other,1,0,0,0.0
matrix_add,add,6,1,11,5.7
matrix_add,mul,3,2,12,6.2
matrix_add,memory,29,3,144,74.6
matrix_add,branch,8,1,11,5.7
matrix_add,compare,2,1,3,1.6
matrix_add,cast,3,1,6,3.1
matrix_add,alloca,6,1,6,3.1
matrix_add,other,4,0,0,0.0
classify,memory,9,3,27,69.2
classify,branch,7,1,7,17.9
classify,compare,3,1,3,7.7
classify,alloca,2,1,2,5.1
classify,other,1,0,0,0.0
scale,mul,1,2,2,6.2
scale,memory,8,3,24,75.0
scale,cast,2,1,2,6.2
scale,alloca,4,1,4,12.5
scale,other,1,0,0,0.0
process,add,1,1,1,1.2
process,memory,20,3,60,72.3
process,call,2,5,10,12.0
process,branch,4,1,4,4.8
process,compare,1,1,1,1.2
process,cast,4,1,4,4.8
process,alloca,3,1,3,3.6
process,other,5,0,0,0.0
main,add,1,1,1,1.2
main,memory,10,3,30,34.9
main,call,8,5,40,46.5
main,branch,4,1,4,4.7
main,compare,1,1,1,1.2
main,cast,4,1,4,4.7
main,alloca,6,1,6,7.0
main,other,6,0,0,0.0
